Asset_Identifier,Asset_Popularity_With_Funds,Asset_Risk_Type,Asset_Marketing_Proportion_Index,Asset_Type,Asset_Price,Office_Identifier,Office_Establishment_Year,Office_Scale,Office_Location_Type,Office_Type,Asset_Office_Sales,Office_Year,Asset
FDO57,20.75,0,0.181958524,13,161.0578,OFF010,1998,2,2,0,481.3734,15,Bonds
FDQ09,7.235,0,0.058222587,13,114.8834,OFF049,1999,1,0,1,3340.3186,14,Bonds
NCY05,13.5,0,0.054723717,8,36.6874,OFF027,1985,1,2,3,1058.622,28,Private Equity
FDA20,6.78,0,0.066724663,6,187.724,OFF049,1999,1,0,1,1491.392,14,Bonds
FDF16,7.3,0,0.144167934,5,146.3076,OFF010,1998,2,2,0,886.8456,15,Bonds
NCG07,12.3,0,0.052458358,9,188.753,OFF013,1987,0,2,1,3795.06,26,Private Equity
FDR46,16.85,0,0.139985583,13,145.276,OFF018,2009,1,2,2,2490.092,4,Bonds
FDP22,14.65,1,0.099286298,13,49.8666,OFF049,1999,1,0,1,563.9326,14,Bonds
FDL45,15.6,0,0.037680711,13,123.7704,OFF035,2004,2,1,1,3129.26,9,Bonds
NCF42,17.35,0,0.168064909,9,176.2712,OFF018,2009,1,2,2,1230.3984,4,Private Equity
FDD04,16,0,0.090111173,4,141.3154,OFF049,1999,1,0,1,3261.7542,14,Bonds
FDC45,17,0,0.136286138,6,170.9106,OFF018,2009,1,2,2,1197.7742,4,Bonds
FDI40,11.5,1,0.125857678,5,100.5358,OFF045,2002,2,1,1,2111.2518,11,Bonds
FDQ11,5.695,1,0.067700925,1,256.5988,OFF046,1997,2,0,1,2055.9904,16,Bonds
DRM48,15.2,0,0.112896669,14,36.0848,OFF046,1997,2,0,1,1193.1136,16,ETF
FDS12,9.1,0,0.173973652,0,126.5362,OFF013,1987,0,2,1,1761.7068,26,Bonds
FDR46,16.85,0,0.167800953,13,146.076,OFF017,2007,2,1,1,2636.568,6,Bonds
NCO02,11.15,0,0.073516952,11,65.9142,OFF045,2002,2,1,1,790.9704,11,Private Equity
FDQ52,17,0,0.119285634,5,247.4434,OFF013,1987,0,2,1,2980.1208,26,Bonds
FDY28,7.47,1,0.153011599,5,215.2218,OFF017,2007,2,1,1,3419.5488,6,Bonds
FDE32,20.7,0,0.04875891,6,37.3506,OFF046,1997,2,0,1,834.9132,16,Bonds
FDJ58,15.6,1,0.105276162,13,173.2764,OFF035,2004,2,1,1,3779.0808,9,Bonds
FDJ27,17.7,1,0.122123201,10,100.7674,OFF045,2002,2,1,1,814.9392,11,Bonds
NCM18,13,0,0.082970667,9,60.0194,OFF049,1999,1,0,1,1114.5492,14,Private Equity
FDA02,14,1,0.029782937,4,146.3786,OFF045,2002,2,1,1,866.8716,11,Bonds
FDT26,18.85,1,0.067953506,4,119.044,OFF046,1997,2,0,1,2396.88,16,Bonds
DRD60,15.7,0,0.03722507,14,182.4634,OFF035,2004,2,1,1,1999.3974,9,ETF
NCR18,15.85,0,0.020487625,9,44.0112,OFF046,1997,2,0,1,468.7232,16,Private Equity
FDO27,6.175,1,0.179077475,10,94.3752,OFF046,1997,2,0,1,1342.2528,16,Bonds
FDP25,15.2,0,0.037131628,3,216.4824,OFF019,1985,2,0,0,218.3824,28,Bonds
FDQ51,16,1,0.017547958,10,48.3718,OFF035,2004,2,1,1,614.5334,9,Bonds
NCH07,13.15,0,0.093191195,9,158.1604,OFF017,2007,2,1,1,1426.1436,6,Private Equity
FDP44,16.5,1,0.079875237,6,102.7332,OFF045,2002,2,1,1,1537.998,11,Bonds
NCP55,14.65,0,0.01125332,11,57.0614,OFF017,2007,2,1,1,939.4438,6,Private Equity
FDO09,13.5,1,0.125170423,13,261.491,OFF013,1987,0,2,1,3418.883,26,Bonds
FDP38,10.1,0,0.032152004,3,50.6008,OFF049,1999,1,0,1,404.8064,14,Bonds
FDI48,11.85,1,0.056033565,0,51.4666,OFF017,2007,2,1,1,974.0654,6,Bonds
FDS58,9.285,1,0.021049215,13,161.0578,OFF045,2002,2,1,1,2406.867,11,Bonds
FDJ55,12.8,1,0.023526504,10,223.5404,OFF035,2004,2,1,1,5626.01,9,Bonds
NCF06,6.235,0,0.020229757,9,260.8962,OFF049,1999,1,0,1,5956.9126,14,Private Equity
FDF41,12.15,0,0.131445848,5,246.846,OFF045,2002,2,1,1,6404.996,11,Bonds
NCL05,19.6,0,0.083862625,8,44.077,OFF019,1985,2,0,0,216.385,28,Private Equity
FDT24,12.35,1,0.18614827,0,78.2328,OFF049,1999,1,0,1,1158.492,14,Bonds
FDK08,9.195,1,0.204713036,6,101.0016,OFF010,1998,2,2,0,202.4032,15,Bonds
FDU55,16.2,0,0.036057562,6,260.3278,OFF018,2009,1,2,2,2342.9502,4,Bonds
NCY18,7.285,0,0.031327839,9,174.6054,OFF017,2007,2,1,1,2976.7918,6,Private Equity
FDS11,7.05,1,0.055558509,1,224.7088,OFF046,1997,2,0,1,3131.9232,16,Bonds
FDC28,7.905,0,0.054935332,5,109.9254,OFF019,1985,2,0,0,108.5254,28,Bonds
FDR59,14.5,1,0.063863551,1,262.3594,OFF046,1997,2,0,1,4448.2098,16,Bonds
DRE15,13.35,0,0.021129629,4,75.7012,OFF017,2007,2,1,1,1442.1228,6,ETF
FDP19,11.5,0,0.202824398,6,128.4652,OFF049,1999,1,0,1,2841.6344,14,Bonds
DRN47,12.1,0,0.016852909,7,180.666,OFF049,1999,1,0,1,2876.256,14,ETF
FDJ34,11.8,1,0.094037241,13,124.5704,OFF018,2009,1,2,2,1001.3632,4,Bonds
FDX21,7.05,0,0.085312137,13,107.4912,OFF018,2009,1,2,2,982.7208,4,Bonds
FDI57,19.85,0,0.053764023,12,195.7768,OFF027,1985,1,2,3,3547.3824,28,Bonds
NCI42,18.75,0,0.010365546,9,207.0954,OFF046,1997,2,0,1,3125.931,16,Private Equity
FDL03,19.25,1,0.027135522,10,196.311,OFF045,2002,2,1,1,3142.576,11,Bonds
FDX37,16.2,0,0.071550584,3,100.57,OFF013,1987,0,2,1,1398.18,26,Bonds
FDW57,8.31,1,0.116148596,13,176.0028,OFF018,2009,1,2,2,4427.57,4,Bonds
FDX14,13.1,0,0.075363922,4,73.8354,OFF017,2007,2,1,1,1956.1204,6,Bonds
FDD09,13.5,0,0.021496403,6,180.5976,OFF046,1997,2,0,1,3078.6592,16,Bonds
FDM09,11.15,1,0.085931544,13,169.679,OFF046,1997,2,0,1,1018.674,16,Bonds
NCW54,7.5,0,0.096806008,9,56.2588,OFF018,2009,1,2,2,687.1056,4,Private Equity
DRL11,10.5,0,0.04778563,7,156.5946,OFF027,1985,1,2,3,3787.0704,28,ETF
FDJ58,15.6,1,0.105725004,13,169.9764,OFF018,2009,1,2,2,2748.4224,4,Bonds
FDX21,7.05,0,0.148764535,13,111.1912,OFF019,1985,2,0,0,109.1912,28,Bonds
FDA20,6.78,0,0.066997921,6,186.524,OFF017,2007,2,1,1,2609.936,6,Bonds
FDL34,16,0,0.040938155,13,141.1496,OFF035,2004,2,1,1,4516.7872,9,Bonds
FDL38,13.8,1,0.014661762,3,89.1172,OFF027,1985,1,2,3,2319.6472,28,Bonds
DRL11,10.5,0,0.048213766,7,159.6946,OFF018,2009,1,2,2,3629.2758,4,ETF
FDO40,17.1,0,0.032761024,5,148.8392,OFF018,2009,1,2,2,2087.9488,4,Bonds
DRZ24,7.535,0,0.081984113,14,121.644,OFF045,2002,2,1,1,1557.972,11,ETF
FDM52,15.1,0,0.025988508,5,146.6076,OFF035,2004,2,1,1,2364.9216,9,Bonds
FDM52,15.1,0,0.026140452,5,149.0076,OFF017,2007,2,1,1,4138.6128,6,Bonds
FDV49,10,0,0.025932408,3,264.7226,OFF018,2009,1,2,2,3171.8712,4,Bonds
FDF47,20.85,0,0.098170402,15,224.0746,OFF017,2007,2,1,1,2243.746,6,Bonds
FDF56,16.7,1,0.119439636,6,182.1976,OFF035,2004,2,1,1,724.3904,9,Bonds
FDW12,8.315,1,0.059540542,0,143.6444,OFF010,1998,2,2,0,145.1444,15,Bonds
FDY09,15.6,0,0.044122209,13,173.8054,OFF019,1985,2,0,0,175.1054,28,Bonds
FDY55,16.75,0,0.081304829,6,258.4988,OFF035,2004,2,1,1,4111.9808,9,Bonds
FDU36,6.15,0,0.081014461,0,98.8384,OFF019,1985,2,0,0,492.692,28,Bonds
NCR06,12.5,0,0.006775667,9,42.9112,OFF049,1999,1,0,1,1022.6688,14,Private Equity
FDW24,6.8,0,0.03749705,0,49.9034,OFF046,1997,2,0,1,194.4136,16,Bonds
FDF16,7.3,0,0.086060695,5,149.8076,OFF013,1987,0,2,1,2808.3444,26,Bonds
NCR18,15.85,0,0.020519478,9,42.5112,OFF049,1999,1,0,1,852.224,14,Private Equity
DRD01,12.1,1,0.061163967,14,56.5614,OFF035,2004,2,1,1,828.921,9,ETF
FDS15,9.195,1,0.07821891,10,107.6596,OFF045,2002,2,1,1,323.5788,11,Bonds
FDT19,7.59,1,0.14492016,6,174.708,OFF013,1987,0,2,1,2942.836,26,Bonds
FDE59,12.15,0,0.062235983,15,34.5532,OFF013,1987,0,2,1,359.532,26,Bonds
FDE04,19.75,1,0.030166924,5,179.766,OFF010,1998,2,2,0,719.064,15,Bonds
NCV17,18.85,0,0.016104504,8,130.2626,OFF035,2004,2,1,1,2360.9268,9,Private Equity
FDC17,12.15,0,0.01544786,5,211.2928,OFF013,1987,0,2,1,2735.1064,26,Bonds
FDI45,13.1,0,0.037574137,6,174.2054,OFF035,2004,2,1,1,3677.2134,9,Bonds
FDZ33,10.195,0,0.106876976,13,146.7076,OFF027,1985,1,2,3,3842.9976,28,Bonds
FDJ56,8.985,0,0.32111501,6,100.77,OFF019,1985,2,0,0,199.74,28,Bonds
FDN25,7.895,1,0.061124626,2,58.5588,OFF013,1987,0,2,1,171.7764,26,Bonds
FDC10,9.8,1,0.127599399,13,118.9098,OFF019,1985,2,0,0,120.5098,28,Bonds
FDQ22,16.75,0,0.029785889,13,38.9822,OFF049,1999,1,0,1,628.5152,14,Bonds
NCR54,16.35,0,0.107671544,9,198.211,OFF035,2004,2,1,1,2946.165,9,Private Equity
DRK11,8.21,0,0.010762387,7,149.5392,OFF035,2004,2,1,1,1789.6704,9,ETF
DRI37,15.85,0,0.108206497,14,58.3904,OFF017,2007,2,1,1,468.7232,6,ETF
FDX37,16.2,0,0.063127333,3,100.47,OFF049,1999,1,0,1,1597.92,14,Bonds
FDF05,17.5,0,0.02687089,5,264.491,OFF046,1997,2,0,1,3681.874,16,Bonds
FDW36,11.15,0,0.099681705,0,107.4622,OFF019,1985,2,0,0,317.5866,28,Bonds
FDI04,13.65,1,0.072898645,5,198.1426,OFF035,2004,2,1,1,1977.426,9,Bonds
FDB04,11.35,1,0.063354531,4,88.9856,OFF045,2002,2,1,1,1230.3984,11,Bonds
FDU38,10.8,0,0.082534287,4,191.1504,OFF035,2004,2,1,1,4410.2592,9,Bonds
FDY28,7.47,1,0.152024355,5,211.8218,OFF013,1987,0,2,1,1496.0526,26,Bonds
FDP20,19.85,0,0.045669236,6,126.402,OFF046,1997,2,0,1,1012.016,16,Bonds
FDC29,8.39,1,0.024342578,5,113.6176,OFF017,2007,2,1,1,2862.94,6,Bonds
FDR45,10.8,0,0.028988288,13,239.2222,OFF049,1999,1,0,1,6692.6216,14,Bonds
NCC42,15,0,0.044908404,8,140.2838,OFF046,1997,2,0,1,1404.838,16,Private Equity
NCF42,17.35,0,0.168329848,9,176.7712,OFF017,2007,2,1,1,2812.3392,6,Private Equity
FDZ45,14.1,0,0.111936685,13,198.8084,OFF010,1998,2,2,0,992.042,15,Bonds
FDB23,19.2,1,0.005620213,15,226.6062,OFF017,2007,2,1,1,5191.2426,6,Bonds
FDC41,15.6,0,0.117095014,5,78.067,OFF049,1999,1,0,1,1148.505,14,Bonds
FDA10,20.35,0,0.248301532,13,124.1072,OFF019,1985,2,0,0,245.0144,28,Bonds
NCM26,20.5,0,0.023274107,11,154.134,OFF017,2007,2,1,1,2909.546,6,Private Equity
FDZ58,17.85,0,0.091354948,13,122.3072,OFF019,1985,2,0,0,122.5072,28,Bonds
FDW35,10.6,0,0.011087128,1,41.4454,OFF035,2004,2,1,1,1468.089,9,Bonds
FDX32,15.1,1,0.099839365,6,143.3786,OFF035,2004,2,1,1,1733.7432,9,Bonds
FDK40,7.035,0,0.021938404,5,264.691,OFF018,2009,1,2,2,5785.802,4,Bonds
FDD04,16,0,0.090480206,4,142.4154,OFF017,2007,2,1,1,1985.4156,6,Bonds
FDP28,13.65,1,0.080640478,5,262.6936,OFF046,1997,2,0,1,4175.8976,16,Bonds
NCL42,18.85,0,0.040338009,9,246.7144,OFF013,1987,0,2,1,6615.3888,26,Private Equity
DRB13,6.115,1,0.007043008,14,190.353,OFF035,2004,2,1,1,569.259,9,ETF
FDC33,8.96,1,0.069219165,6,196.5768,OFF018,2009,1,2,2,2759.0752,4,Bonds
FDO58,19.6,0,0.039569689,13,165.9526,OFF035,2004,2,1,1,2631.2416,9,Bonds
FDE34,9.195,0,0.180588082,13,182.2634,OFF010,1998,2,2,0,363.5268,15,Bonds
NCE19,8.97,0,0.09301462,9,52.7956,OFF046,1997,2,0,1,1037.3164,16,Private Equity
NCJ18,12.35,0,0.274405193,9,117.1124,OFF010,1998,2,2,0,355.5372,15,Private Equity
FDF52,9.3,0,0.066887123,5,183.9292,OFF049,1999,1,0,1,3283.7256,14,Bonds
FDY04,17.7,1,0.042468413,5,162.421,OFF035,2004,2,1,1,1468.089,9,Bonds
DRF49,7.27,0,0.071188446,14,111.9518,OFF049,1999,1,0,1,1138.518,14,ETF
FDX27,20.7,1,0.191008614,4,92.8436,OFF010,1998,2,2,0,189.0872,15,Bonds
FDV28,16.1,1,0.159595473,5,32.8558,OFF013,1987,0,2,1,339.558,26,Bonds
FDE33,19.35,1,0.086905536,6,78.8644,OFF019,1985,2,0,0,314.2576,28,Bonds
FDQ37,20.75,0,0.089186387,2,193.3478,OFF013,1987,0,2,1,6006.1818,26,Bonds
NCG30,20.2,0,0.112321218,9,123.6046,OFF046,1997,2,0,1,2988.1104,16,Private Equity
NCH29,5.51,0,0.034668802,8,98.5726,OFF017,2007,2,1,1,1761.7068,6,Private Equity
FDV20,20.2,1,0.071970394,6,129.0678,OFF017,2007,2,1,1,3560.6984,6,Bonds
FDG57,14.7,0,0.072592873,6,48.5034,OFF018,2009,1,2,2,874.8612,4,Bonds
FDU60,20,1,0.059889718,0,168.5132,OFF035,2004,2,1,1,2874.9244,9,Bonds
NCH30,17.1,0,0.112402118,9,112.986,OFF010,1998,2,2,0,113.186,15,Private Equity
NCM29,11.5,0,0.029529474,8,132.6626,OFF010,1998,2,2,0,262.3252,15,Private Equity
FDB12,11.15,1,0.105736638,0,104.4648,OFF018,2009,1,2,2,2181.1608,4,Bonds
FDD53,16.2,0,0.044291251,5,43.3454,OFF049,1999,1,0,1,503.3448,14,Bonds
FDI44,16.1,0,0.100388706,6,76.0328,OFF049,1999,1,0,1,1853.5872,14,Bonds
FDW56,7.68,0,0.070556945,6,191.2162,OFF027,1985,1,2,3,7504.2318,28,Bonds
FDA01,15,1,0.054599767,3,59.4904,OFF018,2009,1,2,2,644.4944,4,Bonds
FDG47,12.8,0,0.069560905,15,263.0252,OFF013,1987,0,2,1,2885.5772,26,Bonds
FDT40,5.985,0,0.10615428,5,125.2678,OFF035,2004,2,1,1,1017.3424,9,Bonds
FDU20,19.35,1,0.021453493,6,120.3098,OFF035,2004,2,1,1,2530.7058,9,Bonds
NCP41,16.6,0,0.016276741,8,109.8596,OFF018,2009,1,2,2,1617.894,4,Private Equity
FDW36,11.15,0,0.056656942,0,106.2622,OFF027,1985,1,2,3,2328.9684,28,Bonds
FDN31,11.5,0,0.072994847,6,189.253,OFF049,1999,1,0,1,1328.271,14,Bonds
NCU54,8.88,0,0.165073642,9,207.727,OFF010,1998,2,2,0,209.727,15,Private Equity
FDS01,11.6,0,0.017744999,3,177.9686,OFF046,1997,2,0,1,1244.3802,16,Bonds
FDA23,9.8,0,0.047453947,0,101.7016,OFF017,2007,2,1,1,1518.024,6,Bonds
FDY08,9.395,1,0.171422166,6,139.1838,OFF045,2002,2,1,1,1685.8056,11,Bonds
FDJ28,12.3,0,0.021860985,5,193.3162,OFF046,1997,2,0,1,3078.6592,16,Bonds
DRF36,16.1,0,0.023577298,14,192.6846,OFF046,1997,2,0,1,2866.269,16,ETF
FDH44,19.1,1,0.043304681,6,147.5418,OFF010,1998,2,2,0,294.2836,15,Bonds
NCY54,8.43,0,0.177971115,9,174.0422,OFF049,1999,1,0,1,2069.3064,14,Private Equity
FDR59,14.5,1,0.106894492,1,260.4594,OFF010,1998,2,2,0,1046.6376,15,Bonds
DRA59,8.27,1,0.127927931,14,184.8924,OFF046,1997,2,0,1,4442.2176,16,ETF
FDS55,7.02,0,0.081623275,6,148.0734,OFF017,2007,2,1,1,1930.1542,6,Bonds
FDZ28,20,1,0.051596927,5,128.0678,OFF045,2002,2,1,1,1780.3492,11,Bonds
DRG49,7.81,0,0.067592098,14,246.0486,OFF045,2002,2,1,1,7086.1094,11,ETF
FDH21,10.395,0,0.054670967,12,158.6604,OFF019,1985,2,0,0,316.9208,28,Bonds
NCN19,13.1,0,0.012089479,11,189.853,OFF013,1987,0,2,1,3415.554,26,Private Equity
FDP25,15.2,0,0.021250528,3,216.5824,OFF045,2002,2,1,1,5241.1776,11,Bonds
DRH59,10.8,0,0.05843345,7,74.738,OFF046,1997,2,0,1,1025.332,16,ETF
FDH09,12.6,0,0.05606697,12,50.7982,OFF035,2004,2,1,1,473.3838,9,Bonds
NCK54,12.15,0,0.029569276,9,115.015,OFF049,1999,1,0,1,2912.875,14,Private Equity
FDT21,7.42,0,0.0204332,13,248.9092,OFF045,2002,2,1,1,5976.2208,11,Bonds
FDR12,12.6,1,0.055213281,0,172.4764,OFF019,1985,2,0,0,687.1056,28,Bonds
FDS25,6.885,1,0.1408005,3,111.4228,OFF017,2007,2,1,1,2984.1156,6,Bonds
NCL05,19.6,0,0.047665717,8,42.177,OFF027,1985,1,2,3,1255.033,28,Private Equity
NCI30,20.25,0,0.059268885,9,246.446,OFF017,2007,2,1,1,3695.19,6,Private Equity
FDJ26,15.3,1,0.084937098,3,214.0218,OFF045,2002,2,1,1,1068.609,11,Bonds
FDA56,9.21,0,0.008778413,6,122.4414,OFF049,1999,1,0,1,1583.9382,14,Bonds
FDM33,15.6,0,0.087860752,13,220.4798,OFF018,2009,1,2,2,661.1394,4,Bonds
FDP04,15.35,0,0.013834247,5,62.7168,OFF049,1999,1,0,1,958.752,14,Bonds
FDR55,12.15,1,0.132351411,6,190.3872,OFF045,2002,2,1,1,2836.308,11,Bonds
NCZ54,14.65,0,0.082955719,9,164.0552,OFF027,1985,1,2,3,5523.4768,28,Private Equity
NCA53,11.395,0,0.009893817,8,50.3034,OFF049,1999,1,0,1,972.068,14,Private Equity
FDL20,17.1,0,0.14234115,6,111.9886,OFF046,1997,2,0,1,3002.0922,16,Bonds
FDT26,18.85,1,0.067940657,4,119.044,OFF035,2004,2,1,1,1198.44,9,Bonds
NCZ06,19.6,0,0.094161662,9,251.9698,OFF046,1997,2,0,1,4566.0564,16,Private Equity
FDA04,11.3,1,0.067107448,5,258.1962,OFF017,2007,2,1,1,4402.9354,6,Bonds
FDD29,12.15,0,0.018321361,5,255.3698,OFF027,1985,1,2,3,4819.7262,28,Bonds
FDS56,5.785,1,0.038756864,6,260.7252,OFF046,1997,2,0,1,6033.4796,16,Bonds
FDT07,5.82,1,0.077254736,6,257.633,OFF013,1987,0,2,1,1537.998,26,Bonds
FDT58,9,0,0.08630486,13,168.0816,OFF018,2009,1,2,2,2181.1608,4,Bonds
FDJ10,5.095,1,0.128876537,13,139.1838,OFF027,1985,1,2,3,4916.933,28,Bonds
FDN25,7.895,1,0.061163967,2,59.2588,OFF035,2004,2,1,1,801.6232,9,Bonds
DRC27,13.8,0,0.058220302,4,247.4802,OFF045,2002,2,1,1,1474.0812,11,ETF
FDA38,5.44,0,0.025519534,4,238.7538,OFF049,1999,1,0,1,3605.307,14,Bonds
FDM56,16.7,0,0.070133177,6,109.8912,OFF013,1987,0,2,1,873.5296,26,Bonds
NCI43,19.85,0,0.025947095,9,46.9376,OFF013,1987,0,2,1,575.2512,26,Private Equity
FDP36,10.395,1,0.091688111,0,49.0008,OFF017,2007,2,1,1,860.2136,6,Bonds
DRK49,14.15,0,0.035951788,14,40.5138,OFF019,1985,2,0,0,40.6138,28,ETF
FDW32,18.35,1,0.165101585,6,87.7882,OFF019,1985,2,0,0,515.3292,28,Bonds
NCW18,15.1,0,0.059417055,9,237.9248,OFF049,1999,1,0,1,2133.2232,14,Private Equity
FDQ44,20.5,0,0.036287517,6,121.2756,OFF018,2009,1,2,2,2181.1608,4,Bonds
FDL45,15.6,0,0.037764269,13,124.9704,OFF045,2002,2,1,1,2253.0672,11,Bonds
DRB48,16.75,1,0.024848788,14,39.9822,OFF035,2004,2,1,1,746.3618,9,ETF
FDQ34,10.85,0,0.162903525,13,104.9622,OFF018,2009,1,2,2,1482.0708,4,Bonds
FDH17,16.2,1,0.016747538,5,98.6726,OFF017,2007,2,1,1,1272.3438,6,Bonds
FDN08,7.72,1,0.147904328,6,116.6466,OFF010,1998,2,2,0,117.8466,15,Bonds
FDK57,13.03123019,0,0.079904068,13,120.044,OFF027,1985,1,2,3,4434.228,28,Bonds
FDK10,5.785,1,0.040325274,13,180.466,OFF013,1987,0,2,1,719.064,26,Bonds
FDL39,16.1,1,0.06302467,4,181.6318,OFF027,1985,1,2,3,1263.0226,28,Bonds
FDP25,15.2,0,0.021203509,3,216.3824,OFF035,2004,2,1,1,6114.7072,9,Bonds
FDC05,13.1,1,0.098765906,5,196.3768,OFF035,2004,2,1,1,2167.8448,9,Bonds
FDA39,6.32,0,0.012707362,10,41.0822,OFF013,1987,0,2,1,942.7728,26,Bonds
FDZ10,17.85,0,0.04442649,13,124.902,OFF013,1987,0,2,1,1897.53,26,Bonds
FDK08,9.195,1,0.121712459,6,101.2016,OFF027,1985,1,2,3,2631.2416,28,Bonds
DRD24,13.85,0,0.030769458,14,141.7154,OFF013,1987,0,2,1,2978.1234,26,ETF
DRG48,5.78,0,0.014614357,14,147.3102,OFF018,2009,1,2,2,2332.9632,4,ETF
FDH52,9.42,1,0.076868664,5,62.1194,OFF019,1985,2,0,0,123.8388,28,Bonds
FDS25,6.885,1,0.140292495,3,108.5228,OFF045,2002,2,1,1,1989.4104,11,Bonds
NCH43,8.42,0,0.070555571,9,216.0192,OFF035,2004,2,1,1,2372.9112,9,Private Equity
DRK01,7.63,0,0.061409711,14,94.6436,OFF017,2007,2,1,1,1607.2412,6,ETF
FDD59,10.5,1,0.066555152,15,80.896,OFF017,2007,2,1,1,958.752,6,Bonds
FDB27,7.575,0,0.092711708,4,197.7768,OFF010,1998,2,2,0,197.0768,15,Bonds
FDO22,13.5,1,0.017844609,13,81.396,OFF013,1987,0,2,1,1198.44,26,Bonds
FDD35,12.15,0,0.025916883,15,120.244,OFF045,2002,2,1,1,2277.036,11,Bonds
FDR01,5.405,1,0.053611144,3,197.7742,OFF035,2004,2,1,1,796.2968,9,Bonds
NCB31,6.235,0,0.207783483,9,262.291,OFF019,1985,2,0,0,525.982,28,Private Equity
FDC35,7.435,0,0.122837694,15,208.7638,OFF046,1997,2,0,1,3105.957,16,Bonds
FDS23,4.635,0,0.141174838,1,127.0994,OFF045,2002,2,1,1,2826.9868,11,Bonds
FDC33,8.96,1,0.069078149,6,197.7768,OFF045,2002,2,1,1,3153.2288,11,Bonds
NCF18,18.35,0,0.089345074,9,191.9504,OFF018,2009,1,2,2,5369.0112,4,Private Equity
FDM36,11.65,1,0.058822142,0,173.5422,OFF049,1999,1,0,1,3448.844,14,Bonds
FDJ53,10.5,0,0.071368699,5,121.3098,OFF049,1999,1,0,1,1446.1176,14,Bonds
NCL17,7.39,0,0.068055818,8,140.7812,OFF018,2009,1,2,2,1567.2932,4,Private Equity
FDW27,5.86,1,0.150122794,10,154.5314,OFF027,1985,1,2,3,1396.1826,28,Bonds
FDA32,14,0,0.030094192,6,215.7192,OFF046,1997,2,0,1,1078.596,16,Bonds
FDA03,18.5,1,0.076097035,4,145.8102,OFF010,1998,2,2,0,291.6204,15,Bonds
FDW09,13.65,1,0.025973384,13,79.6302,OFF045,2002,2,1,1,554.6114,11,Bonds
FDN09,14.15,0,0.039561881,13,244.1828,OFF045,2002,2,1,1,731.0484,11,Bonds
FDM08,10.1,1,0.053887301,6,225.6088,OFF017,2007,2,1,1,4250.4672,6,Bonds
FDX01,10.1,0,0.024262772,3,117.615,OFF018,2009,1,2,2,1514.695,4,Bonds
DRO35,13.85,0,0.034624104,7,115.0492,OFF049,1999,1,0,1,4054.722,14,ETF
FDS31,13.1,1,0.044281996,6,178.5318,OFF045,2002,2,1,1,3067.3406,11,Bonds
NCM53,18.75,0,0.052121825,8,104.828,OFF049,1999,1,0,1,2343.616,14,Private Equity
FDI16,14,1,0.135662712,5,52.064,OFF013,1987,0,2,1,852.224,26,Bonds
DRF36,16.1,0,0.023613955,14,192.8846,OFF049,1999,1,0,1,5350.3688,14,ETF
FDW49,19.5,0,0.082152451,3,179.9002,OFF027,1985,1,2,3,4119.3046,28,Bonds
FDB58,10.5,1,0.02363057,13,141.7154,OFF019,1985,2,0,0,425.4462,28,Bonds
NCJ18,12.35,0,0.164274416,9,119.8124,OFF045,2002,2,1,1,2133.2232,11,Private Equity
FDL51,20.7,1,0.047587685,4,215.0876,OFF045,2002,2,1,1,5145.3024,11,Bonds
FDS03,7.825,0,0.079952983,10,62.7826,OFF018,2009,1,2,2,1162.4868,4,Bonds
NCO54,19.5,0,0.024992442,9,53.6614,OFF019,1985,2,0,0,165.7842,28,Private Equity
FDA48,12.1,0,0.115107028,0,222.0114,OFF045,2002,2,1,1,3547.3824,11,Bonds
NCK06,5.03,0,0.008604657,9,123.1756,OFF027,1985,1,2,3,1211.756,28,Private Equity
NCZ54,14.65,0,0.083528446,9,162.4552,OFF045,2002,2,1,1,2274.3728,11,Private Equity
FDW39,6.69,1,0.036731658,10,177.237,OFF027,1985,1,2,3,4763.799,28,Bonds
FDI09,20.75,1,0.129337594,12,238.188,OFF046,1997,2,0,1,5033.448,16,Bonds
NCO02,11.15,0,0.07346686,11,65.0142,OFF049,1999,1,0,1,1120.5414,14,Private Equity
DRF13,12.1,0,0.029827665,14,144.3444,OFF049,1999,1,0,1,2612.5992,14,ETF
FDK25,11.6,1,0.157718931,2,168.3474,OFF017,2007,2,1,1,4548.0798,6,Bonds
FDZ38,17.6,0,0.008046275,4,173.7422,OFF017,2007,2,1,1,5863.0348,6,Bonds
NCQ42,20.35,0,0.068753558,9,127.9678,OFF019,1985,2,0,0,254.3356,28,Private Equity
FDM14,13.8,0,0.013199737,3,108.9254,OFF027,1985,1,2,3,2713.135,28,Bonds
FDC20,10.65,0,0.023971463,6,54.0272,OFF046,1997,2,0,1,447.4176,16,Bonds
FDW32,18.35,1,0.09468096,6,86.2882,OFF018,2009,1,2,2,1631.8758,4,Bonds
FDQ19,7.35,1,0.014394261,6,241.3512,OFF045,2002,2,1,1,5331.7264,11,Bonds
FDE08,18.2,0,0.049396364,6,146.4734,OFF049,1999,1,0,1,3563.3616,14,Bonds
FDC29,8.39,1,0.024243294,5,116.0176,OFF049,1999,1,0,1,1603.2464,14,Bonds
FDV50,14.3,0,0.122469209,4,121.973,OFF013,1987,0,2,1,2709.806,26,Bonds
FDF11,10.195,1,0.017730951,15,239.8538,OFF017,2007,2,1,1,4086.0146,6,Bonds
FDN09,14.15,0,0.035016754,13,245.3828,OFF018,2009,1,2,2,1705.7796,4,Bonds
